,cdf,Number of Prompt Tokens
0,0.0,399.81482283364824
1,0.01,400.6152529093913
2,0.02,403.83302995196453
3,0.03,406.2633124985649
4,0.04,407.89162073672736
5,0.05,410.3463280371647
6,0.06,411.99100105066736
7,0.07,413.6422659333707
8,0.08,415.3001491055654
9,0.09,416.13158083550655
10,0.1,417.7994412117407
11,0.11,420.3137741529488
12,0.12,421.9983968102526
13,0.13,423.6897714554094
14,0.14,427.0928850659405
15,0.15,428.8046784812415
16,0.16,431.38524135926446
17,0.17,433.1142385901656
18,0.18,434.8501656627444
19,0.19,438.34292054381035
20,0.2,440.09980423648733
21,0.21,442.74834161126677
22,0.22,445.4128179847865
23,0.23,447.19803791135894
24,0.24,449.8892927265958
25,0.25,451.69245441772284
26,0.26,456.23204057605346
27,0.27,457.1454180346637
28,0.28,458.9776623632152
29,0.29,461.73980740680776
30,0.3,462.6642114256402
31,0.31,465.448542261823
32,0.32,468.24962930696654
33,0.33,469.1870660022758
34,0.34,471.06757340057356
35,0.35000000000000003,472.9556178951206
36,0.36,475.8018828071904
37,0.37,476.75443912912675
38,0.38,477.7089024707267
39,0.39,478.6652766498472
40,0.4,479.6235654919891
41,0.41000000000000003,480.5837728303115
42,0.42,481.5459025056475
43,0.43,483.4759442691548
44,0.44,486.3855209058114
45,0.45,490.2922123052143
46,0.46,491.27377829581536
47,0.47000000000000003,493.2428095023807
48,0.48,495.2197326096817
49,0.49,498.1999838116113
50,0.5,500.19677533310926
51,0.51,504.2143999461194
52,0.52,505.2238381842498
53,0.53,508.264294474345
54,0.54,509.2818406094288
55,0.55,510.3014238739115
56,0.56,511.3230483461316
57,0.5700000000000001,512.3467181125903
58,0.58,513.372437267971
59,0.59,515.4300401652346
60,0.6,517.4958899596346
61,0.61,519.5700197048338
62,0.62,521.6524625869748
63,0.63,522.6968118614232
64,0.64,527.9500039148264
65,0.65,531.1272271353848
66,0.66,534.3235710062289
67,0.67,536.4651462992648
68,0.68,536.4651462992648
69,0.6900000000000001,538.6153050518083
70,0.7000000000000001,544.028480675098
71,0.71,545.1176267825557
72,0.72,548.3981654110365
73,0.73,550.5961518475673
74,0.74,551.6984464458608
75,0.75,552.8029478401469
76,0.76,553.9096604484355
77,0.77,556.1297370233019
78,0.78,558.3587116917573
79,0.79,560.5966201174675
80,0.8,562.8434981070386
81,0.81,565.0993816105905
82,0.8200000000000001,567.3643067223313
83,0.8300000000000001,569.6383096811354
84,0.84,571.9214268711221
85,0.85,573.066414712706
86,0.86,575.3632717888522
87,0.87,576.515150210852
88,0.88,576.515150210852
89,0.89,583.4750099737693
90,0.9,583.4750099737693
91,0.91,585.8135848247916
92,0.92,586.9863847944102
93,0.93,589.3390332779063
94,0.9400000000000001,590.5188912023867
95,0.9500000000000001,591.701111204794
96,0.96,592.8856980140129
97,0.97,594.0726563683953
98,0.98,595.2619910157795
99,0.99,596.4537067135088
100,1.0,598.8443003370163
