,cdf,Output Throughput
0,0.0,31.09355757096096
1,0.01,31.21818092332617
2,0.02,31.21818092332617
3,0.03,31.28067978403353
4,0.04,31.721689311571495
5,0.05,32.04049769614657
6,0.06,32.16891639591199
7,0.07,32.23331863093885
8,0.08,32.557268977381305
9,0.09,32.75319986141552
10,0.1,33.01627645128441
11,0.11,33.2814660955245
12,0.12,33.41485861154611
13,0.13,33.61595050264383
14,0.14,33.88595678175108
15,0.15,34.158131775104636
16,0.16,34.36369671239413
17,0.17,34.43249290200854
18,0.18,34.50142682173228
19,0.19,34.57049874730132
20,0.2,34.70905772168032
21,0.21,35.05788966797693
22,0.22,35.198402111022496
23,0.23,35.55215205184124
24,0.24,35.6946455044604
25,0.25,35.83771007254983
26,0.26,36.12556172046482
27,0.27,36.270353405925924
28,0.28,36.41572541820215
29,0.29,36.634876639973626
30,0.3,36.708219736349946
31,0.31,36.78170966575206
32,0.32,37.003063394656856
33,0.33,37.1513721173722
34,0.34,37.30027526323027
35,0.35000000000000003,37.524749739640455
36,0.36,37.67514938749509
37,0.37,37.750575111994586
38,0.38,37.82615183894552
39,0.39,37.9777595100358
40,0.4,38.05379106060644
41,0.41000000000000003,38.12997482649355
42,0.42,38.35944246645889
43,0.43,38.5902910514165
44,0.44,38.744961401652304
45,0.45,38.900251672510336
46,0.46,39.05616434863997
47,0.47000000000000003,39.212701924648975
48,0.48,39.5276618047685
49,0.49,39.606796262836106
50,0.5,39.845151470422216
51,0.51,40.084941108720805
52,0.52,40.487801599381925
53,0.53,40.56885825924053
54,0.54,40.89471090664214
55,0.55,41.140816833580544
56,0.56,41.55428905525158
57,0.5700000000000001,41.720839145102175
58,0.58,41.88805676971418
59,0.59,42.14014068986939
60,0.6,42.648868811730225
61,0.61,42.905531327715394
62,0.62,42.99142828733044
63,0.63,43.250152339279715
64,0.64,43.5104334024222
65,0.65,43.77228084691059
66,0.66,43.94772067451362
67,0.67,44.12386366705374
68,0.68,44.212199730451246
69,0.6900000000000001,44.30071264282453
70,0.7000000000000001,44.389402758225586
71,0.71,44.47827043141523
72,0.72,44.56731601786451
73,0.73,44.745942355985854
74,0.74,44.835523822164006
75,0.75,45.10534571123943
76,0.76,45.28612847883683
77,0.77,45.558662123888844
78,0.78,45.8328358867911
79,0.79,46.01653444375361
80,0.8,46.10865963783521
81,0.81,46.47900845847786
82,0.8200000000000001,46.66529688287211
83,0.8300000000000001,46.758720900655646
84,0.84,46.85233195350981
85,0.85,47.228654015778176
86,0.86,47.512877853455876
87,0.87,47.79881216100805
88,0.88,47.990390374500834
89,0.89,48.37585342237466
90,0.9,49.25450320144857
91,0.91,49.55091867664183
92,0.92,49.94891602546512
93,0.93,50.35011012409445
94,0.9400000000000001,51.2646182930898
95,0.9500000000000001,52.30023262723876
96,0.96,52.614977418055496
97,0.97,54.434646336994085
98,0.98,56.99712612291374
99,0.99,58.498484992238865
100,1.0,155.8667043974642
