,cdf,Number of Total Tokens
0,0.0,797.1172060413226
1,0.01,800.3120613813115
2,0.02,800.3120613813115
3,0.03,800.3120613813115
4,0.04,800.3120613813115
5,0.05,800.3120613813115
6,0.06,800.3120613813115
7,0.07,800.3120613813115
8,0.08,1598.7893394994353
9,0.09,1598.7893394994353
10,0.1,1598.7893394994353
11,0.11,1598.7893394994353
12,0.12,1598.7893394994353
13,0.13,1598.7893394994353
14,0.14,2394.673305539692
15,0.15,2399.4674462915236
16,0.16,2399.4674462915236
17,0.17,2399.4674462915236
18,0.18,2399.4674462915236
19,0.19,2399.4674462915236
20,0.2,2399.4674462915236
21,0.21,2399.4674462915236
22,0.22,2399.4674462915236
23,0.23,2399.4674462915236
24,0.24,2399.4674462915236
25,0.25,2399.4674462915236
26,0.26,2399.4674462915236
27,0.27,2399.4674462915236
28,0.28,2399.4674462915236
29,0.29,2399.4674462915236
30,0.3,2399.4674462915236
31,0.31,2399.4674462915236
32,0.32,2399.4674462915236
33,0.33,2399.4674462915236
34,0.34,2404.271184922738
35,0.35000000000000003,3193.9133188687024
36,0.36,3193.9133188687024
37,0.37,3193.9133188687024
38,0.38,3200.3075397272987
39,0.39,3200.3075397272987
40,0.4,3200.3075397272987
41,0.41000000000000003,3200.3075397272987
42,0.42,3200.3075397272987
43,0.43,3200.3075397272987
44,0.44,3200.3075397272987
45,0.45,3200.3075397272987
46,0.46,3200.3075397272987
47,0.47000000000000003,3200.3075397272987
48,0.48,3200.3075397272987
49,0.49,3200.3075397272987
50,0.5,3200.3075397272987
51,0.51,3200.3075397272987
52,0.52,3200.3075397272987
53,0.53,3200.3075397272987
54,0.54,3200.3075397272987
55,0.55,3200.3075397272987
56,0.56,3200.3075397272987
57,0.5700000000000001,3200.3075397272987
58,0.58,3200.3075397272987
59,0.59,3200.3075397272987
60,0.6,3200.3075397272987
61,0.61,3200.3075397272987
62,0.62,3200.3075397272987
63,0.63,3200.3075397272987
64,0.64,3200.3075397272987
65,0.65,3200.3075397272987
66,0.66,3200.3075397272987
67,0.67,3200.3075397272987
68,0.68,3200.3075397272987
69,0.6900000000000001,3200.3075397272987
70,0.7000000000000001,3200.3075397272987
71,0.71,3200.3075397272987
72,0.72,3200.3075397272987
73,0.73,3200.3075397272987
74,0.74,3200.3075397272987
75,0.75,3200.3075397272987
76,0.76,3200.3075397272987
77,0.77,3200.3075397272987
78,0.78,3200.3075397272987
79,0.79,3200.3075397272987
80,0.8,3200.3075397272987
81,0.81,3200.3075397272987
82,0.8200000000000001,3200.3075397272987
83,0.8300000000000001,3200.3075397272987
84,0.84,3200.3075397272987
85,0.85,3200.3075397272987
86,0.86,3200.3075397272987
87,0.87,3200.3075397272987
88,0.88,3200.3075397272987
89,0.89,3200.3075397272987
90,0.9,3200.3075397272987
91,0.91,3200.3075397272987
92,0.92,3200.3075397272987
93,0.93,3200.3075397272987
94,0.9400000000000001,3995.812690157074
95,0.9500000000000001,3995.812690157074
96,0.96,3995.812690157074
97,0.97,4003.8123151623936
98,0.98,4003.8123151623936
99,0.99,4003.8123151623936
100,1.0,4003.8123151623936
